name,summary,causes,symptoms,home_care,alternative_names
Abdominal mass,An abdominal mass is swelling in one part of the belly area (abdomen).,"Several conditions can cause an abdominal mass: Abdominal aortic aneurysm can cause a pulsating mass around the navel. Bladder distention (urinary bladder over-filled with fluid) can cause a firm mass in the center of the lower abdomen above the pelvic bones. In extreme cases, it can reach as far up as the navel. Cholecystitis can cause a very tender mass that is felt below the liver in the right-upper quadrant (occasionally). Colon cancer can cause a mass almost anywhere in the abdomen. Crohn disease or bowel obstruction can cause many tender, sausage-shaped masses anywhere in the abdomen. Diverticulitis can cause a mass that is usually located in the left-lower quadrant. Gallbladder tumor can cause a tender, irregularly shaped mass in the right-upper quadrant. Hydronephrosis (fluid-filled kidney) can cause a smooth, spongy-feeling mass in one or both sides or toward the back (flank area). Kidney cancer can sometimes cause a smooth, firm, but not tender mass in the abdomen. Liver cancer can cause a firm, lumpy mass in the right upper quadrant. Liver enlargement (hepatomegaly) can cause a firm, irregular mass below the right rib cage, or on the left side in the stomach area. Neuroblastoma , a cancerous tumor often found in the lower abdomen can cause a mass (this cancer mainly occurs in children and infants). Ovarian cyst can cause a smooth, rounded, rubbery mass above the pelvis in the lower abdomen. Pancreatic abscess can cause a mass in the upper abdomen in the epigastric area. Pancreatic pseudocyst can cause a lumpy mass in the upper abdomen in the epigastric area. Spleen enlargement (splenomegaly) can sometimes be felt in the left-upper quadrant. Stomach cancer can cause a mass in the left-upper abdomen in the stomach area (epigastric) if the cancer is large. Uterine leiomyoma (fibroids) can cause a round, lumpy mass above the pelvis in the lower abdomen (sometimes can be felt if the fibroids are large). Volvulus can cause a mass anywhere in the abdomen. Ureteropelvic junction obstruction can cause a mass in the lower abdomen.",,All abdominal masses should be examined as soon as possible by the provider. Changing your body position may help relieve pain due to an abdominal mass.,Mass in the abdomen
Abdominal MRI scan,An abdominal magnetic resonance imaging scan is an imaging test that uses powerful magnets and radio waves. The waves create pictures of the inside of the belly area. It does not use radiation (x-rays).,,,,Nuclear magnetic resonance - abdomen; NMR - abdomen; Magnetic resonance imaging - abdomen; MRI of the abdomen; Liver MRI - abdomen; Pancreas MRI - abdomen; Kidney MRI - abdomen
Abdominal pain,Abdominal pain is pain that you feel anywhere between your chest and groin. This is often referred to as the stomach region or belly.,"Many different conditions can cause abdominal pain. The key is to know when you need to get medical care right away. Sometimes, you may only need to contact a health care provider if your symptoms continue. Less serious causes of abdominal pain include: Constipation Irritable bowel syndrome Food allergies or intolerance (such as lactose intolerance ) Food poisoning Stomach flu Other possible causes include: Appendicitis Abdominal aortic aneurysm (bulging and weakening of the major artery in the body) Bowel blockage or obstruction Cancer of the stomach, colon (large bowel), and other organs Cholecystitis (inflammation of the gallbladder) with or without gallstones Decreased blood supply to the intestines ( ischemic bowel ) Diverticulitis (inflammation and infection of the colon) Endometriosis Heartburn , indigestion , or gastroesophageal reflux (GERD) Hernia in which the intestine is stuck or twisted Inflammatory bowel disease ( Crohn disease or ulcerative colitis ) Kidney stones Muscle strain Pancreatitis (swelling or infection of the pancreas) Pelvic inflammatory disease (PID) Ruptured ovarian cyst Severe menstrual cramps Tubal ( ectopic ) pregnancy Ulcers Urinary tract infections (UTI)",,"You can try the following home care steps to ease mild abdominal pain: Sip water or other clear fluids. You may have sports drinks in small amounts. People with diabetes must check their blood sugar often and adjust their medicines as needed. Avoid solid food for the first few hours. If you have been vomiting, wait 6 hours, and then eat small amounts of mild foods such as rice, applesauce, or crackers. Avoid dairy products. If the pain is high up in your abdomen and occurs after meals, antacids may help, especially if you feel heartburn or indigestion. Avoid citrus, high-fat foods, fried or greasy foods, tomato products, caffeine, alcohol, and carbonated beverages. DO NOT take any medicine without talking to your provider. These additional steps may help prevent some types of abdominal pain: Drink plenty of water each day. Eat small meals more frequently. Exercise regularly. Limit foods that produce gas. Make sure that your meals are well-balanced and high in fiber. Eat plenty of fruits and vegetables.",Stomach pain; Pain - abdomen; Belly ache; Abdominal cramps; Bellyache; Stomachache
Abdominal pain - children under age 12,Almost all children have abdominal pain at one time or another. Abdominal pain is pain in the stomach or belly area. It can be anywhere between the chest and groin.,"Your child could have abdominal pain for many reasons. It can be hard to know what is going on when your child has abdominal pain. Most of the time, there is nothing seriously wrong. But sometimes, it can be a sign that there is something serious and your child needs medical care. Your child most likely is having abdominal pain from something that is not life threatening. For example, your child may have: Air swallowing Abdominal migraine Colic Constipation Gas Food allergy or intolerance Food poisoning Heartburn or acid reflux Ingesting grass or plants Mononucleosis (""mono"") Stomach flu Strep throat Pain caused by anxiety or depression Your child may have something more serious if the pain does not get better in 24 hours, gets worse or gets more frequent. Abdominal pain can be a sign of: Accidental poisoning Appendicitis Gallstones Hernia or other bowel twisting, blockage, or obstruction Inflammatory bowel disease (Crohn disease or ulcerative colitis) Intussusception, caused by part of the intestine being pulled inward into itself Pregnancy Sickle cell disease crisis Stomach ulcer Swallowed foreign bodies, especially coins or other solid objects Torsion (twisting) of the ovary Torsion (twisting) of the testicle Tumor or cancer Unusual inherited metabolic disorders (such as abnormal accumulation of protein and sugar breakdown products) Urinary tract infection",,"Most of the time, you can use home care remedies and wait for your child to get better. If you are worried or your child's pain is getting worse, or the pain lasts longer than 24 hours, contact your health care provider. Have your child lie quietly to see if the abdominal pain goes away. Offer sips of water or other clear fluids. Suggest that your child try to pass stool. Avoid solid foods for a few hours. Then try small amounts of mild foods such as rice, applesauce, or crackers. Do not give your child foods or drinks that are irritating to the stomach. Avoid: Caffeine Carbonated beverages Citrus Dairy products Fried or greasy foods High-fat foods Tomato products Do not give aspirin, ibuprofen, acetaminophen (Tylenol), or similar medicines without first asking your child's provider. To prevent many types of abdominal pain: Avoid fatty or greasy foods. Drink plenty of water each day. Eat small meals more often. Exercise regularly. Limit foods that produce gas. Make sure that meals are well-balanced and high in fiber. Eat plenty of fruits and vegetables. To reduce the risk of accidental poisoning and ingestion of foreign bodies: Keep all cleaning supplies and hazardous materials in their original containers. Store these dangerous items where infants and children cannot reach them. Do not allow infants and young children to play with objects they can easily swallow.",Stomach pain in children; Pain - abdomen - children; Abdominal cramps in children; Belly ache in children
Abdominal rigidity,"Abdominal rigidity is stiffness of the muscles in the belly area, which can be felt when touched or pressed.","Causes can include: Abscess inside the abdomen Appendicitis Cholecystitis caused by gallstones Hole that develops through the entire wall of the stomach, small intestine, large bowel, or gallbladder ( gastrointestinal perforation ) Injury to the abdomen Peritonitis",,,Rigidity of the abdomen
Abdominal sounds,Abdominal sounds are the noises made by the intestines.,"Most of the sounds you hear in your stomach and intestines are due to normal digestion. They are not a cause for concern. Many conditions can cause hyperactive or hypoactive bowel sounds. Most are harmless and do not need to be treated. The following is a list of more serious conditions that can cause abnormal bowel sounds. Hyperactive, hypoactive, or missing bowel sounds may be caused by: Blocked blood vessels prevent the intestines from getting proper blood flow. For example, blood clots can cause mesenteric artery occlusion . Mechanical bowel obstruction is caused by hernia , tumor , adhesions , or similar conditions that can block the intestines. Paralytic ileus is a problem with the nerves to the intestines. Other causes of hypoactive bowel sounds include: Drugs that slow down movement in the intestines such as opioids (including codeine), anticholinergics, and phenothiazines General anesthesia Radiation to the abdomen Spinal anesthesia Surgery in the abdomen Other causes of hyperactive bowel sounds include: Crohn disease Diarrhea Food allergy GI bleeding Infectious enteritis Ulcerative colitis",,,Bowel sounds
Abdominal tap,An abdominal tap is used to remove fluid from the area between the belly wall and the spine. This space is called the abdominal cavity or peritoneal cavity.,,,,Peritoneal tap; Paracentesis; Ascites - abdominal tap; Cirrhosis - abdominal tap; Malignant ascites - abdominal tap
Abdominal thrusts,"Choking is when someone is having a very hard time breathing because food, a toy, or other object is blocking the throat or windpipe (airway).",,,,Choking - Heimlich maneuver
Abdominal ultrasound,"Abdominal ultrasound is a type of imaging test. It is used to look at organs in the abdomen, including the liver, gallbladder, spleen, pancreas, and kidneys. The blood vessels that lead to some of these organs, such as the inferior vena cava and aorta, can also be examined with ultrasound.",,,,Ultrasound - abdomen; Abdominal sonogram; Right upper quadrant sonogram
Abdominal wall fat pad biopsy,An abdominal wall fat pad biopsy is the removal of a small part of the abdominal wall fat pad for laboratory study of the tissue.,,,,Amyloidosis - abdominal wall fat pad biopsy; Abdominal wall biopsy; Biopsy - abdominal wall fat pad
Abdominal wall surgery,"Abdominal wall surgery is a procedure that improves the appearance of flabby, stretched-out abdominal (belly) muscles and skin. It is also called a tummy tuck. It can range from a simple mini-tummy tuck to more extensive surgery.",,,,Cosmetic surgery of the abdomen; Tummy tuck; Abdominoplasty
Abdominal x-ray,"An abdominal x-ray is an imaging test to look at organs and structures in the abdomen. Organs include the liver, spleen, stomach, and intestines.",,,,Abdominal film; X-ray - abdomen; Flat plate; KUB x-ray
Abnormal hemoglobins testing,Hemoglobin is a protein in red blood cells that moves oxygen and carbon dioxide between the lungs and body tissues.,,,,Methemoglobin; Carboxyhemoglobin; Sulfhemoglobin
Abnormal uterine bleeding,Abnormal uterine bleeding (AUB) is bleeding from the uterus that is longer than usual or that occurs at an irregular time. Bleeding may be heavier or lighter than usual and occur often or randomly.,"Every woman's menstrual cycle is different. On average, a woman's period (menstrual flow) occurs every 28 days, although cycles may vary from 24 to 34 days. Menstruation flow normally last about 4 to 7 days. Young girls may get their periods anywhere from 21 to 45 days or more apart. Women in their 40s may start to have their period less often or have the interval between their periods decrease. For most women, female hormone levels change every month. The hormones estrogen and progesterone are released as part of the process of ovulation. When a woman ovulates, an egg is released. AUB can occur when the ovaries do not release an egg. Changes in hormone levels cause your period to be later or earlier. Your period may sometimes be heavier than normal. AUB is more common in teenagers or in premenopausal women. Women who are overweight also may be more likely to have AUB. In many women, AUB is caused by a hormone imbalance. It can also occur due to following causes: Thickening of the uterine wall or lining Uterine fibroids Uterine polyps Cancers of ovaries, uterus, cervix, or vagina Bleeding disorders or problems with blood clotting Polycystic ovary syndrome Severe weight loss Hormonal birth control, such as birth control pills or intrauterine devices (IUD) Excessive weight gain or loss (more than 10 pounds or 4.5 kilograms) Infection of the uterus or cervix","AUB is unpredictable. The bleeding may be very heavy or light, and can occur often or randomly. Symptoms of AUB may include: Bleeding or spotting from the vagina between periods Periods that occur less than 28 days apart (more common) or more than 35 days apart Time between periods changes each month Heavier bleeding (such as passing large clots, needing to change protection during the night, soaking through a sanitary pad or tampon every hour for 2 to 3 hours in a row) Bleeding that lasts for more days than normal or for more than 7 days Other symptoms caused by changes in hormone levels may include: Excessive growth of body hair in a male pattern ( hirsutism ) Hot flashes Mood swings Tenderness and dryness of the vagina A woman may feel tired or fatigued if she loses too much blood over time. This is a symptom of anemia .",,Anovulatory bleeding; Abnormal uterine bleeding - hormonal; Polymenorrhea - dysfunctional uterine bleeding
Abnormally dark or light skin,Abnormally dark or light skin is skin that has turned darker or lighter than normal.,"Causes of hyperpigmentation include: Skin inflammation (post-inflammatory hyperpigmentation) Use of certain drugs (such as minocycline, certain cancer chemotherapies, and birth control pills) Hormone system diseases such as Addison disease Hemochromatosis (iron overload) Sun exposure Pregnancy (melasma, or mask of pregnancy) Certain birthmarks Skin condition called acanthosis nigricans Causes of hypopigmentation include: Skin inflammation (post-inflammatory hypopigmentation) Certain fungal infections (such as tinea versicolor ) Pityriasis alba Vitiligo Certain medicines Skin condition called idiopathic guttate hypomelanosis in sun exposed areas such as the arms Certain birthmarks",,"Over-the-counter and prescription creams are available for lightening the skin. Hydroquinone combined with tretinoin is an effective combination. If you use these creams, follow instructions carefully, and don't use one for more than 3 weeks at a time. Darker skin requires greater care when using these preparations. Cosmetics may also help mask a discoloration. Avoid too much sun exposure. Always use sunscreen with an SPF of 30 or higher. Abnormally dark skin may continue even after treatment.",Hyperpigmentation; Hypopigmentation; Skin - abnormally light or dark
ABO incompatibility,"A, B, AB, and O are the 4 major blood types. The types are based on small substances (molecules) on the surface of the blood cells.","The different blood types are: Type A Type B Type AB Type O People who have one blood type may form proteins ( antibodies ) that cause their immune system to react against one or more of the other blood types. Being exposed to another type of blood can cause a reaction. This is important when someone needs to receive a blood transfusion or have an organ transplant. The blood types must be compatible to avoid an ABO incompatibility reaction. For example: People with type A blood will react against type B or type AB blood. People with type B blood will react against type A or type AB blood. People with type O blood will react against type A, type B, or type AB blood. People with type AB blood will not react against type A, type B, type AB, or type O blood. Type O blood does not cause an immune response when it is given to people with type A, type B, or type AB blood. This is why type O blood cells can be given to people of any blood type. People with type O blood are called universal donors. But people with type O can only receive type O blood. Both blood and plasma transfusions must be matched to avoid an immune reaction. Before anyone receives blood, both the blood and the person receiving it are tested carefully to avoid a reaction. Usually, a reaction occurs because of a clerical error causing someone to receive incompatible blood.",The following are symptoms of ABO incompatible transfusion reactions : Low back pain Blood in urine Chills Feeling of impending doom Fever Nausea and vomiting Shortness of breath Increased heart rate Pain at infusion site Chest pain Dizziness Bronchospasm (spasm of the muscles lining the lung; causes cough) Yellow skin and whites of the eyes ( jaundice ) Acute kidney failure Low blood pressure Disseminated intravascular coagulation (DIC),,Transfusion reaction - hemolytic; Acute hemolytic transfusion reaction; AHTR; Blood incompatibility - ABO
Abortion - medication,A medication abortion is the use of medicine to end an undesired pregnancy. The medicine helps remove the fetus and placenta from the woman's womb (uterus). Medication abortion is also called the abortion pill.,,,,Medical abortion; Induced abortion; Nonsurgical abortion
Abortion - procedure,An abortion is a medical procedure that ends an undesired pregnancy by removing the fetus and placenta from the woman's uterus (womb). A medication abortion uses medicine to end an undesired pregnancy.,,,,Suction curettage; Surgical abortion; Elective abortion - surgical; Therapeutic abortion - surgical
Abscess,"An abscess is a collection of pus in any part of the body. In most cases, the area around an abscess is swollen and inflamed.","Abscesses occur when an area of tissue becomes infected and the body's immune system tries to fight and contain it. White blood cells (WBCs) move through the walls of the blood vessels into the area of the infection and collect in the damaged tissue. During this process, pus forms. Pus is the buildup of fluid, living and dead white blood cells, dead tissue, and bacteria or other foreign substances. Abscesses can form in almost any part of the body. The skin, under the skin, and the teeth are the most common sites. Abscesses may be caused by bacteria, parasites, and foreign substances. Abscesses in the skin are easy to see. They are red, raised, and painful. Abscesses in other areas of the body may not be seen, but they may cause organ damage. Some types and locations of abscesses include: Abdominal abscess Amebic liver abscess Anorectal abscess Bartholin gland abscess Brain abscess Epidural abscess Peritonsillar abscess Pyogenic liver abscess Spinal cord abscess Subcutaneous (skin) abscess Tooth abscess",,,
Abscess - abdomen or pelvis,"An abdominal abscess is a pocket of infected fluid and pus located inside the belly (abdominal cavity). This type of abscess can be located near or inside the liver, pancreas, kidneys or other organs. There can be one or more abscesses.","You can get abdominal abscesses because you have: A burst appendix A burst or leaking intestine A burst ovary A perforated diverticulum, most often in the sigmoid colon Inflammatory bowel disease Infection in your gallbladder, pancreas, ovary or other organs Pelvic infection Parasite infection You are more at risk for an abdominal abscess if you have: Trauma Perforated ulcer disease Surgery in your belly area Weakened immune system Germs may pass through your blood to an organ in your belly. Sometimes, no reason can be found for an abscess.","Pain or discomfort in the belly that does not go away is a common symptom. This pain: May be found only in one area of your belly or over most of your belly May be sharp or dull May become worse over time Depending on where the abscess is located, you may have: Pain in your back Pain in your chest or shoulder Other symptoms of an abdominal abscess may be a lot like symptoms of having the flu. You may have: Swollen belly Diarrhea Fever or chills Lack of appetite and possible weight loss Nausea or vomiting Weakness Cough",,Abscess - intra-abdominal; Pelvic abscess
Absence of sweating,An abnormal lack of sweat in response to heat may be harmful because sweating allows heat to be released from the body. The medical term for absent sweating is anhidrosis.,Cause of anhidrosis may include: Burns Brain tumor Certain genetic syndromes Certain nerve problems (neuropathies) Congenital disorders including ectodermal dysplasia Dehydration Nervous system disorders such as Guillain-Barré syndrome Skin diseases or scarring of the skin that block sweat glands Trauma to sweat glands Use of certain drugs,,"If there is a danger of overheating, take the following measures: Take a cool shower or sit in a bathtub with cool water Drink plenty of fluids Stay in a cool environment Move slowly DO NOT do heavy exercise",Decreased sweating; Anhidrosis
Absence seizure,An absence seizure is the term for a type of seizure involving staring spells. This type of seizure is a brief (usually less than 15 seconds) change in awareness due to abnormal electrical activity in the brain.,"Seizures result from overactivity in the brain. Absence seizures occur most often in people under age 20, usually in children ages 4 to 12 years. In some cases, the seizures are triggered by flashing lights or when the person breathes faster and more deeply than usual (hyperventilates). They may also occur with other types of seizures, such as bilateral tonic-clonic seizures (grand mal seizures), twitches or jerks ( myoclonus ), or sudden loss of muscle strength (atonic seizures).","Most absence seizures last only a few seconds. They often involve staring episodes. The episodes may: Occur many times a day Occur for weeks to months before being noticed Interfere with school and learning Be mistaken for lack of attention, daydreaming or other misbehavior Unexplained difficulties in school and learning difficulties may be the first sign of absence seizures. During the seizure, the person may: Stop walking and start again a few seconds later Stop talking in mid-sentence and start again a few seconds later The person usually does not fall during the seizure. Right after the seizure, the person is usually: Wide awake Thinking clearly Unaware of the seizure Specific symptoms of typical absence seizures may include: Changes in muscle activity, such as no movement, hand fumbling , fluttering eyelids, lip smacking, chewing Changes in alertness (consciousness) , such as staring episodes, lack of awareness of surroundings, sudden halt in movement, talking, and other awake activities Some absence seizures begin slower and last longer. These are called atypical absence seizures. Symptoms are similar to regular absence seizures, but muscle activity changes may be more noticeable.",,Seizure - petit mal; Seizure - absence; Petit mal seizure; Epilepsy - absence seizure; Non-motor generalized seizure
Absent menstrual periods - primary,Absence of a woman's monthly menstrual period is called amenorrhea.,"Most girls begin their periods between ages 9 and 18. The average is around 12 years old. If no periods have occurred when a girl is older than 15, further testing may be needed. The need is more urgent if she has gone through other normal changes that occur during puberty. Being born with incompletely formed genital or pelvic organs can lead to a lack of menstrual periods. Some of these defects include: Blockages or narrowing of the cervix Hymen that has no opening Missing uterus or vagina Vaginal septum (a wall that divides the vagina into 2 sections) Hormones play a big role in a woman's menstrual cycle. Hormone problems can occur when: Changes occur to the parts of the brain where hormones that help manage the menstrual cycle are produced. The ovaries are not working correctly. Either of these problems may be due to: Anorexia (loss of appetite) with low body mass index (BMI) Chronic or long-term illnesses, such as cystic fibrosis or heart disease Genetic defects or disorders Infections that occurred before or after the woman's birth Other birth defects Poor nutrition Tumors In many cases, the cause of primary amenorrhea is not known.",A female with amenorrhea will have no menstrual flow. She may have other signs of puberty.,,Primary amenorrhea; No periods - primary; Absent periods - primary; Absent menses - primary; Absence of periods - primary
Absent menstrual periods - secondary,Absence of a woman's monthly menstrual period is called amenorrhea. Secondary amenorrhea is when a woman who has been having normal menstrual cycles stops getting her periods for 6 months or longer.,"Secondary amenorrhea can occur due to natural changes in the body. For example, the most common cause of secondary amenorrhea is pregnancy. Breastfeeding and menopause are also common, but natural causes. Women who take birth control pills or who receive hormone shots such as Depo-Provera may not have any monthly bleeding. When they stop taking these hormones, their periods may not return for more than 6 months. You are more likely to have absent periods if you: Are obese Exercise too much and for long periods of time Have low body fat (less than 15% to 17%) Have severe anxiety or emotional distress Lose a lot of weight suddenly (for example, from strict or extreme diets or after gastric bypass surgery ) Other causes include: Drugs for cancer treatment Medicines to treat schizophrenia or psychosis Overactive thyroid gland Pituitary tumors Polycystic ovarian syndrome Reduced function of the ovaries Premature ovarian failure Also, procedures such as a dilation and curettage ( D and C ) can cause scar tissue to form. This tissue may cause a woman to stop menstruating. This is called Asherman syndrome . Scarring may also be caused by some severe pelvic infections.","In addition to having no menstrual periods, other symptoms can include: Breast size changes Weight gain or weight loss Discharge from the breast or change in breast size Acne and increased hair growth in a male pattern Vaginal dryness Voice changes If amenorrhea is caused by a pituitary tumor, there may be other symptoms related to the tumor, such as vision loss and headache .",,Amenorrhea - secondary; No periods - secondary; Absent periods - secondary; Absent menses - secondary; Absence of periods - secondary
Absent pulmonary valve,"Absent pulmonary valve is a rare defect in which the pulmonary valve is either missing or poorly formed. Oxygen-poor blood flows through this valve from the heart to the lungs, where it picks up fresh oxygen. This condition is present at birth (congenital).","Absent pulmonary valve occurs when the pulmonary valve does not form or develop properly while the baby is in the mother's womb. When present, it often occurs as part of a heart condition called tetralogy of Fallot . It is found in about 3% to 6% of people who have tetralogy of Fallot. When the pulmonary valve is missing or does not work well, blood does not flow efficiently to the lungs to get enough oxygen. In most cases, there is also a hole between the left and right ventricles of the heart ( ventricular septal defect ). This defect will also lead to low-oxygen blood being pumped out to the body. The skin will have a blue appearance (cyanosis), because the body's blood contains a low amount of oxygen. Absent pulmonary valve also results in very enlarged (dilated) branch pulmonary arteries (the arteries that carry blood to the lungs to pick up oxygen). They can become so enlarged that they press on the tubes that bring the oxygen into the lungs (bronchi). This causes breathing problems. Other heart defects that can occur with absent pulmonary valve include: Abnormal tricuspid valve Atrial septal defect Double outlet right ventricle Ductus arteriosis Endocardial cushion defect Marfan syndrome Tricuspid atresia Absent left pulmonary artery Heart problems that occur with absent pulmonary valve may be due to defects in certain genes.","Symptoms can vary depending on which other defects the infant has, but may include: Blue coloring to the skin (cyanosis) Coughing Failure to thrive Poor appetite Rapid breathing Respiratory failure Wheezing",,Absent pulmonary valve syndrome; Congenital absence of the pulmonary valve; Pulmonary valve agenesis; Cyanotic heart disease - pulmonary valve; Congenital heart disease - pulmonary valve; Birth defect heart - pulmonary valve
Acanthosis nigricans,"Acanthosis nigricans (AN) is a skin disorder in which there is darker, thick, velvety skin in body folds and creases.","AN can affect otherwise healthy people. It can also be related to medical problems, such as: Genetic disorders, including Down syndrome and Alström syndrome Hormone imbalances that occur in diabetes and obesity , often called insulin resistance Cancer, such as cancer of the digestive system, liver, kidney, bladder, or lymphoma Some medicines, including hormones such as human growth hormone or birth control pills","AN usually appears slowly and doesn't cause any symptoms other than skin changes. Eventually, dark, velvety skin with very visible markings and creases appears in the armpits, groin and neck folds, and over the joints of the fingers and toes. Sometimes, the lips, palms, soles of the feet, or other areas are affected. These symptoms are more common in people with cancer.",,AN; Skin pigment disorder - acanthosis nigricans
